    China,,,,,,,,,
    Stainless Bar 60mm 304 (In-Warehouse) Dalian $/mt,STCN0002 Index,,,,,,,,
    Stainless Bar 60mm 321 (In-Warehouse) Dalian $/mt,STCN0005 Index,,,,,,,,
,,,,,,,,,
    HR Stainless Sheet 6.0mm 201 No.1 (In-Warehouse),STCN0008 Index,,,,,,,,
    HR Stainless Sheet 6.0mm 304 No.1 (In-Warehouse),STCN0011 Index,,,,,,,,
,,,,,,,,,
    CRC Stainless 1.0mm 201/2B No.1 (In-Warehouse),STCN0014 Index,,,,,,,,
    CRC Stainless 1.0mm 304/2B No.1 (In-Warehouse),STCN0017 Index,,,,,,,,
    CRC Stainless 1.0mm 430/2B No.1 (In-Warehouse),STCN0019 Index,,,,,,,,
,,,,,,,,,
    Stainless Pipe 1.0mm (In-Warehouse) Wenzhou,STCN0021 Index,,,,,,,,
,,,,,,,,,
    Stainless Scrap 304 (In-Warehouse) Dalian,STCN0022 Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    Italy Stainless Steel Spot $/mt,STITHRDB KLSH Index,,,,,,,,
    Italy Stainless Steel CRC Spot $/mt,STITCRDB KLSH Index,,,,,,,,
,,,,,,,,,
Wire Rod,,,,,,,,,
    China,,,,,,,,,
    High Speed Wire Rod 6.5mm (Avg.) $/mt,CDSPWRAV Index,,,,,,,,
,,,,,,,,,
SE ASIA,,,,,,,,,
    South East Asia Wire Rod Spot CFR $/mt,STSXWRCR KLSH Index,,,,,,,,
,,,,,,,,,
    Wire Rod 8mm Average Price $/mt,,,,,,,,,
        Wire Rod 8mm (In-Warehouse) Tianjin $/mt,STCN0003 Index,,,,,,,,
        Wire Rod 8mm (In-Warehouse) Shanghai $/mt,STCN0006 Index,,,,,,,,
        Wire Rod 8mm (In-Warehouse) Guangzhou $/mt,STCN0009 Index,,,,,,,,
,,,,,,,,,
    Wire Rod 6.5mm FOB $/mt,STCN0012 Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    Italy Wire Rod Spot (ex-works) $/mt,STITWRXW KLSH Index,,,,,,,,
    N.W. Europe Wire Rod Spot (ex-works) $/mt,STNWLPRB EXW KLSH Index,,,,,,,,
,,,,,,,,,
    Asia (ex-China),,,,,,,,,
    Malaysia Wire Rod (In-Warehouse) Kuala Lumpur $/mt,STMY0001 Index,,,,,,,,
    India Wire Rod (In-Warehouse) Mumbai $/mt,S3IN0001 Index,,,,,,,,
,,,,,,,,,
Rebar,,,,,,,,,
    China - Domestic,,,,,,,,,
    Rebar 25mm Spot Avg. $/mt,CDSPDRAV Index,,,,,,,,
    Rebar 12mm FOB $/mt,STCN0025 Index,,,,,,,,
    Rebar 20mm Average Price $/mt,,,,,,,,,
        Rebar 20mm (In-Warehouse) Tianjin $/mt,STCN0027 Index,,,,,,,,
        Rebar 20mm (In-Warehouse) Shanghai $/mt,STCN0030 Index,,,,,,,,
        Rebar 20mm (In-Warehouse) Guangzhou $/mt,STCN0032 Index,,,,,,,,
        Rebar 20mm FOB $/mt,STCN0034 Index,,,,,,,,
,,,,,,,,,
    China - Export,,,,,,,,,
    Rebar 25mm (Shanghai) - $/mt,CSPWRBSE Index,,,,,,,,
,,,,,,,,,
    Singapore,,,,,,,,,
    Steel Rebar Spot CFR ($/mt),STSGRBCR KLSH Index,,,,,,,,
,,,,,,,,,
    Turkey,,,,,,,,,
    Rebar Spot/Free on Board ($/mt),STTRRBFB KLSH Index,,,,,,,,
,,,,,,,,,
    Persian Gulf,,,,,,,,,
    Rebar CFR $/mt,STMERBCR KLSH Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    N. Europe Steel Rebar Spot (ex-works) $/mt,STNWRBXW KLSH Index,,,,,,,,
    S. Europe Steel Rebar Spot FOB $/mt,STS3RBFB KLSH Index,,,,,,,,
    Italy Rebar Spot (ex-works) $/mt,STITRBXW KLSH Index,,,,,,,,
    Italy Merchant Bar Spot (ex-works) $/mt,STITMBXW KLSH Index,,,,,,,,
,,,,,,,,,
    Asia (ex-China),,,,,,,,,
    Malaysia Rebar 12mm (In-Warehouse) Kuala Lumpur $/mt,STMY0003 Index,,,,,,,,
    Malaysia Rebar 16mm (In-Warehouse) Kuala Lumpur $/mt,STMY0004 Index,,,,,,,,
    India TMT Bar 12mm (In-Warehouse) Mumbai $/mt,S3IN0003 Index,,,,,,,,
    India TMT Bar 16mm (In-Warehouse) Mumbai $/mt,S3IN0004 Index,,,,,,,,
,,,,,,,,,
Pipes & Tube,,,,,,,,,
    N. America Welded Tubes & Pipes (ex-works) $/mt,STANWTXW KLSH Index,,,,,,,,
,,,,,,,,,
    N. America OCTG P110 Steel Pipe (5.5 inch) FOB $/mt,STANOCFB KLSH Index,,,,,,,,
,,,,,,,,,
China,,,,,,,,,
    Seamless Pipe 6mm Average Price $/mt,,,,,,,,,
        Seamless Pipe 6mm (In-Warehouse) Tianjin $/mt,STCN0069 Index,,,,,,,,
        Seamless Pipe 6mm (In-Warehouse) Shanghai $/mt,STCN0070 Index,,,,,,,,
        Seamless Pipe 6mm (In-Warehouse) Guangzhou $/mt,STCN0071 Index,,,,,,,,
        Seamless Pipe 3.75mm (In-Warehouse) Guangzhou $/mt,STCN0076 Index,,,,,,,,
,,,,,,,,,
    Welded Pipe 6mm Average Price $/mt,,,,,,,,,
        Welded Pipe 3.75mm (In-Warehouse) Tianjin $/mt,STCN0072 Index,,,,,,,,
        Welded Pipe 3.75mm (In-Warehouse) Shanghai $/mt,STCN0074 Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Semi - Finished Steel Prices,,,,,,,,,
,,,,,,,,,
Billet,,,,,,,,,
China,,,,,,,,,
    China Steel Billet Spot (ex-works) Tangshan $/mt,STCNBIXW KLSH Index,,,,,,,,
    China Steel Billet HRB335 EXW $/mt,STCN0092 Index,,,,,,,,
,,,,,,,,,
    China Steel Billet Q235 EXW $/mt,STCN0093 Index,,,,,,,,
,,,,,,,,,
Philippines,,,,,,,,,
    Philippines Steel Billet Spot CFR Manilla $/mt,SLPHBICR KLSH Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    Italy Steel Billet Spot/Ex Works ($/mt),STITBIXW KLSH Index,,,,,,,,
    Black Sea Steel Billet Spot/Free on Board ($/mt),STBSBIFB KLSH Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Slab,,,,,,,,,
China,,,,,,,,,
    East Asia Steel Slab Spot/Cost and Freight $/mt,STEAFPSL CFR Index,,,,,,,,
,,,,,,,,,
Europe,,,,,,,,,
    Black Sea Slab Spot FOB $/mt,STBSSLFB KLSH Index,,,,,,,,
,,,,,,,,,
Asia - x CN,,,,,,,,,
    Japan Steel Slab Spot FOB $/mt,STJPSLFB KLSH Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Pig Iron,,,,,,,,,
    China Domestic,,,,,,,,,
    Pig Iron (L10 Shanghai) $/mt,CPIPSHAN Index,,,,,,,,
    Pig Iron L8-10 EXW $/mt,STCN0083 Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Raw Materials,,,,,,,,,
,,,,,,,,,
Coke,,,,,,,,,
China: Coke Prices (CNY/mt) - Shanghai Steel Home,,,,,,,,,
    Coke (1st Grade),,,,,,,,,
        Taiyuan,CCKPTAIY Index,,,,,,,,
        Tanshan,CCKPTANG Index,,,,,,,,
        Jixi,CCKPJIXI Index,,,,,,,,
        Guangzhou,CCKPGZHO Index,,,,,,,,
        Linyi,CCKPLINY Index,,,,,,,,
    Coke (2nd Grade),,,,,,,,,
        Taiyuan (Production),CCOKTAIY Index,,,,,,,,
        Shanghai (Spot),CCOKSHAN Index,,,,,,,,
    Foundry Coke Mkt Price (Domestic),CCOKFOUN Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
China: Coke Prices (CNY/mt) - CU Steel,,,,,,,,,
    Coke (1st Grade),,,,,,,,,
        Shandong Port,CNKPSHAN Index,,,,,,,,
        Shanxi Port,CNKPSHX1 Index,,,,,,,,
    Coke (2nd Grade),,,,,,,,,
        Lianyun Port,CNKPLIAN Index,,,,,,,,
        Rizhao Port,CNKPRIZH Index,,,,,,,,
        Shanxi Port,CNKPSHX2 Index,,,,,,,,
        Tianjin Port,CNKPTIAN Index,,,,,,,,
China: Coke Prices ($/mt) - Platts,,,,,,,,,
    Mid-Vol CFR Jingtang,NAMC001A PLDP Index,,,,,,,,
    Hard - CFR Jingtang,PMTCHCCC PLDP Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Australia: Coke Prices ($/mt) - Platts,,,,,,,,,
    Hard Coking Coal (FOB East Coast Port),NAMC0032 PLDP Index,,,,,,,,
    Premium Hard Coking Coal (FOB East Coast Port),NAMC0031 PLDP Index,,,,,,,,
,,,,,,,,,
China,,,,,,,,,
Iron Ore  ,,,,,,,,,
Iron Ore Spot Price Index 62% Import Fine Ore Qingdao($/dmt),ISIX62IU Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Scrap,,,,,,,,,
Asia Scrap Prices,,,,,,,,,
    China ($/mt),,,,,,,,,
        CU Steel Heavy Metal Scrap Prices ($/mt),,,,,,,,,
        Beijing,CNMUBEIJ Index,,"""CNMUBEIJ Index::China Heavy Metal Scrap  Beijing"",","""",CNMUBEIJ Index,::,China Heavy Metal Scrap , Beijing,""","
        Hebei,CNMUHEBE Index,,"""CNMUHEBE Index::China Heavy Metal Scrap Hebei"",","""",CNMUHEBE Index,::,China Heavy Metal Scrap ,Hebei,""","
        Henan,CNMUHENA Index,,"""CNMUHENA Index::China Heavy Metal Scrap  Henan"",","""",CNMUHENA Index,::,China Heavy Metal Scrap , Henan,""","
        Jianyin,CNMUJIAN Index,,"""CNMUJIAN Index::China Heavy Metal Scrap  Jianyin"",","""",CNMUJIAN Index,::,China Heavy Metal Scrap , Jianyin,""","
        Lingyuan,CNMULING Index,,"""CNMULING Index::China Heavy Metal Scrap  Lingyuan"",","""",CNMULING Index,::,China Heavy Metal Scrap , Lingyuan,""","
        Qingdao,CNMUQING Index,,"""CNMUQING Index::China Heavy Metal Scrap  Qingdao"",","""",CNMUQING Index,::,China Heavy Metal Scrap , Qingdao,""","
        Jingsu,CNMUJING Index,,"""CNMUJING Index::China Heavy Metal Scrap  Jingsu"",","""",CNMUJING Index,::,China Heavy Metal Scrap , Jingsu,""","
        Shandong,CNMUSHAD Index,,"""CNMUSHAD Index::China Heavy Metal Scrap  Shandong"",","""",CNMUSHAD Index,::,China Heavy Metal Scrap , Shandong,""","
        Shanghai,CNMUSHAN Index,,"""CNMUSHAN Index::China Heavy Metal Scrap  Shanghai"",","""",CNMUSHAN Index,::,China Heavy Metal Scrap , Shanghai,""","
        Tangshan,CNMUTANG Index,,"""CNMUTANG Index::China Heavy Metal Scrap  Tangshan"",","""",CNMUTANG Index,::,China Heavy Metal Scrap , Tangshan,""","
        Wuhan,CNMUWUHA Index,,"""CNMUWUHA Index::China Heavy Metal Scrap  Wuhan"",","""",CNMUWUHA Index,::,China Heavy Metal Scrap , Wuhan,""","
        Shanghai Steel Home ($/mt),,,,,,,,,
        Chaoyang,SCRCCHAO Index,,,,,,,,
        Shanghai,SCRCSHAN Index,,,,,,,,
        Laiwu,SCRCLAIW Index,,,,,,,,
        Zhangjiagang,SCRCZHJG Index,,,,,,,,
        China Dom. Heavy,MBFO5221 Index,,,,,,,,
,,,,,,,,,
        Asian Metals ($/mt),,,,,,,,,
        Steel Scrap HMS 4-6mm EXW Shandong $/mt,STCN0086 Index,,,,,,,,
        Steel Scrap MMS 4-6mm EXW Tianjin $/mt,STCN0087 Index,,,,,,,,
        Steel Scrap MMS 4-6mm EXW Guangzhou $/mt,STCN0088 Index,,,,,,,,
        Steel Scrap HMS 8mm EXW Wuxi $/mt,STCN0089 Index,,,,,,,,
        Steel Scrap MMS 6-10mm EXW Liaoning $/mt,STCN0090 Index,,,,,,,,
        Steel Scrap Delivered $/mt,STCN0091 Index,,,,,,,,
,,,,,,,,,
Taiwan,,,,,,,,,
    Taiwan Steel Scrap (HMS 1/2 80:20) Spot CFR $/mt,STTWHMCR KLSH Index,,,,,,,,
Japan,,,,,,,,,
    Japan Steel Scrap H2 Export Price $/mt,STJPSAFS KLSH Index,,,,,,,,
    Japan Steel Scrap H2 Delivered $/mt,STJPSCDB KLSH Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Europe Scrap Prices,,,,,,,,,
    Italy,,,,,,,,,
        Shredded Scrap (E40) Spot Delivered $/mt,STITSHDB KLSH Index,,,,,,,,
        Heavy Demolition Scrap (E1) Spot Delivered $/mt,STITE1DB KLSH Index,,,,,,,,
        Demolition Scrap (E3) Spot Delivered $/mt,STITE3DB KLSH Index,,,,,,,,
        Light New Scrap (E8) Spot (ex-works) $/mt,STITE8XW KLSH Index,,,,,,,,
        Stainless Steel Scrap 316 Spot Delivered,STITSRDB KLSH Index,,,,,,,,
        Stainless Steel Scrap 304 Spot Delivered $/mt,STITSSDB KLSH Index,,,,,,,,
    Spain,,,,,,,,,
        Shredded Scrap (E40) Spot Delivered $/mt,STESSHDB KLSH Index,,,,,,,,
